Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Oberland
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
12;Schweizer;Erna;1962;Gemeindeschreiberin;Brienz;691;
13;Auderset;Alex;1958;Restaurateur Café de Paris Interlaken;Därligen;607;
14;Föhse;Martin;1976;Ass.-Prof. Dr. iur., Rechtsanwalt;Unterseen;586;
15;Fuchs;Nils;1999;Gymnasiast;Interlaken;584;

Liste;12;FDP.Die Liberalen Berner Oberland West
Kürzel / Sigle;FDP Liste West;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;16747;
Zusatzstimmen / Suffrages complémentaires;5526;
Parteistimmen / Total des suffrages de parti;22273;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Schär;Hans;1959;Eidg. dipl. Elektroinstallateur;Schönried;3'262;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Siegenthaler;Mathias;1983;Geschäftsführer vonRoll hydro (suisse) ag, MBA;Wimmis;2'631;
3;Schranz;Beat;1965;Inhaber Schranz CNC-Fertigung AG;Scharnachtal;1'331;
4;Frost-Hirschi;Andrea;1959;Juristin, Arbeitsrichterin Berner Oberland;Spiez;1'160;
5;Lanz-Zehnder;Monika;1966;Betriebsökonomin, Familienfrau;Spiez;1'150;
6;Mürner;Hans-Ulrich;1951;Eidg. dipl. Zimmermeister, Dozent BFH/bzi;Scharnachtal;1'000;
7;Heer;Walter;1958;Kundenberater Berner Kantonalbank Gstaad;Gstaad;965;
8;Weibel;Urs;1949;Gemeinderatspräsident Kandersteg;Kandersteg;896;
9;Frei;Thomas;1960;Hotelier, VR-Präsident Hotel Bernerhof Gstaad;Turbach;842;
10;Schmutz;Rolf;1958;Leiter Compliance, dipl. Bankfachmann;Spiez;794;
11;Gurtner;Urs;1958;Dr. med. dent. in eigener Praxis Spiez;Spiez;775;
12;Kurth;Stefan;1967;Eidg. dipl. Baumeister;Spiez;676;
13;Grossenbacher;Luca;1995;Multimediaelektroniker, BMS;Adelboden;633;
14;Galli;Roger;1952;Mitinhaber Holzbau Burn AG Adelboden;Adelboden;632;

Liste;13;grünliberale Oberland
Kürzel / Sigle;glp;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;20982;
Zusatzstimmen / Suffrages complémentaires;4092;
Parteistimmen / Total des suffrages de parti;25074;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Egger;Martin;1964;Teamleiter Post;Frutigen;3'694;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Grossen-Rösti;Annelies;1970;Gemeinderätin, Familienfrau;Frutigen;1'769;
3;Allenbach;Marc;1976;Holzbauingenieur FH, Betriebsinhaber Allenbach Holzbau und Solartechnik AG;Reichenbach;1'735;
4;Baumgartner;Jan;1989;MSc Geographie, Projektleiter Ökologie Kraftwerke Oberhasli AG;Brienz;1'413;
5;Liechti;Niklaus;1967;Eidg. dipl. Bankfachmann, Treuhänder mit eidg. Fachausweis;Frutigen;1'374;
6;Bach;Daniel;1971;Kaufmännischer Angestellter;Saanen;1'363;
7;Gehret;Michael;1977;Architekt, Leiter Schürli;Feutersoey;1'236;
8;Ossola;Natalie;1992;Psychologin;Bönigen;1'192;
9;Schneeberger;Simon;1986;BSc Betriebsökonomie FH, Schadeninspektor;Spiez;1'066;
10;Haldimann;Fabienne;1992;BSc Betriebswirtschaft FH, Buchhaltungsexpertin SBB AG;Spiez;1'063;
11;Schild;Rachel;1982;MAS FH in Treuhand und Unternehmensberatung, Geschäftsführerin;Frutigen;921;
12;Schwenter;Hans-Peter;1955;Poststellenleiter;Schönried;918;
13;Zimmermann;Rafael;1997;Elektroniker EFZ;Hondrich;897;
14;Christ;Florian;1997;Automatiker;Unterseen;860;
15;Güntensperger;Hanspeter;1957;Maschinentechniker TS, Ausbildner Konstrukteure;Frutigen;823;
16;Wyss;Lucienne;1995;Reiseberaterin;Bönigen;658;

Liste;14;Grüne
Kürzel / Sigle;Grüne;
Sitze / Sièges;1;
Kandidatenstimmen /Total des suffrages nominatifs;19022;
Zusatzstimmen / Suffrages complémentaires;1890;
Parteistimmen / Total des suffrages de parti;20912;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Boss;Martin;1958;Abteilungsleiter Behinderteninstitution, Gemeindepräsident;Saxeten;3'621;x
Stimmen haben erhalten/Ont obtenu des suffrages
2;Kohler;Beat;1974;Autor Jungfrau Zeitung, Redaktor Erneuerbare Energie;Meiringen;2'460;
3;Brügger;Daniel;1958;Informatiker, GGR-Mitglied;Spiez;2'067;
4;Zeilstra;Anna Katharina;1993;Sozialpädagogin HF, GGR-Mitglied;Spiez;1'353;
5;Sieber-Feitknecht;Christine Ruth;1973;Pfarrerin;Matten b. Interlaken;1'312;
6;Müller;Tanja;1997;Landschaftsgärtnerin EFZ, Sozialpädagogin in Ausbildung;Spiez;1'191;
7;Bhend Perreten;Manuela;1982;Sozialpädagogin;Spiez;1'148;
8;Jaun;Andreas;1970;Biologe, GGR-Mitglied;Spiez;1'144;
9;Rufener;Adrian;1979;Dozent BFH;Wimmis;1'023;
10;Ritter;Benjamin;1984;Bauleiter Hochbau;Spiez;970;
11;Aulbach;Adrian;1991;Softwareentwickler, Co-Präsident Grüne Interlaken-Oberhasli;Interlaken;942;
12;Rittiner;Felix Xaver;1956;Hochbauzeichner, Baubiologe;Spiez;904;
13;Thielmann;Raffael;1996;Student Philosophie, Politik, Wirtschaft;Aeschi;887;
