Grossratswahlen 2018 / Election du Grand Conseil 2018
Sitzverteilung und Wähleranteile / Répartition des sièges et pourcentage des voix
Wahlkreis / Cercle électoral: Mittelland-Süd
Listennr.;Kürzel;Sitze;Frauen;Parteistimmen;Wähleranteil;Gewählte
6;Stoll;Ursula;1987;Sozialarbeiterin FH, Kauffrau EFZ;Oberwangen b. Bern;407;
7;Renfer;Rebecca;1994;Studentin Geschichtswissenschaften;Münsingen;404;
8;Zink-Zaugg;Elena;1993;Sozialarbeiterin FH i.A.;Liebefeld;362;
9;Kipfer;Rebekka;1997;Fotofachfrau;Münsingen;351;
10;Küenzi;Susanne;1991;Bäckerin, Familienfrau;Brenzikofen;335;
11;Bührer;Andreas;1986;Wirtschaftsingenieur;Wichtrach;334;
12;von Gunten;Sven;1995;Student der Rechtswissenschaften;Schliern b. Köniz;327;
13;Grimm;Nicolai;1997;Polymechaniker;Belp;326;
14;Schüpbach;Daniel;1986;Polymechaniker, Theologe B.A.;Wabern;322;
15;Zink;Joël;1996;Physik Student;Zäziwil;316;
16;Gasser;Nadal;1990;Sozialarbeiter FH;Bern;313;
17;Schneider;Micha;1995;Servicetechniker;Belp;301;
18;Küenzi;Patric;1989;Logistiker EFZ;Brenzikofen;297;
19;Saladin;Gian;1997;Metallbauer EFZ;Münsingen;293;
20;Hilty;Samuel;1999;Informatiker;Liebefeld;286;

Liste;11;Grüne
Kürzel / Sigle;Grüne;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;52708;
Zusatzstimmen / Suffrages complémentaires;3371;
Parteistimmen / Total des suffrages de parti;56079;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Bauen;Antonio;1958;Masch-Ingenieur HTL selbständig;Münsingen;6'564;x
2;Graf-Rudolf;Madeleine;1957;Schulleiterin, Lehrerin;Belp;6'337;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;Remund;Jan;1968;Geschäftsbereichsleiter Energie+Klima, Co-Präsident Grüne Kt. Bern;Mittelhäusern;4'991;
4;Siegenthaler;Urs;1975;Landwirt, Ing. Agronom FH;Münsingen;2'961;
5;Bühler;Dominique;1983;Umweltnaturwissenschaftlerin ETH;Niederscherli;2'944;
6;Ackermann;Elena;1993;Raumplanerin BoS FHO;Mittelhäusern;2'766;
7;Pestalozzi;Hansueli;1963;Biologe, Gemeinderat Köniz;Wabern;2'733;
8;Harder-Furger;Annj;1960;Betreuerin Tagesschule Münsingen;Münsingen;2'664;
9;Müller;David;1992;Umweltnaturwissenschaftler;Köniz;2'605;
10;Schweri;Lea Ilona;1992;Geografin;Rubigen;2'501;
11;Bulut;Welat;1971;Schulsozialarbeiter, dipl. Sozialpädagoge;Kehrsatz;2'393;
12;Widmer;Iris;1972;Dr.iur. Wissenschaftliche Mitarbeiterin BJ;Schliern b. Köniz;2'364;
13;Lochner-Egerszegi;Annuschka;1973;Webdesignerin, Familienfrau;Belp;2'328;
14;Bachmann;Verena;1968;Pflegefachfrau;Belp;2'233;
15;Jurasch;Jürgen;1976;Kälteanlagenbauer;Münsingen;2'184;
16;Giger;Markus;1959;Ökonom Dr.oek.HSG;Mühlethurnen;2'122;
17;Schaufelberger;Benjamin;1998;Pflegefachmann;Belp;2'018;

Liste;12;FDP. Die Liberalen
Kürzel / Sigle;FDP;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;55851;
Zusatzstimmen / Suffrages complémentaires;7278;
Parteistimmen / Total des suffrages de parti;63129;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Kohler;Hans-Peter;1960;Arzt, Gemeinderat;Spiegel b. Bern;4'554;x
2;Vogt;Hans Rudolf;1950;Uhrmacher, Optiker;Oberdiessbach;3'947;x
Stimmen haben erhalten/Ont obtenu des suffrages
3;Kohli;Christine;1979;Unternehmerin;Bleiken b. Oberdiessbach;3'321;
4;Lüthi;Jürg;1963;Malermeister, Unternehmer;Mühlethurnen;3'167;
5;Mohler;Stephanie;1981;Leiterin Personal Nonprofit-Organisation;Wichtrach;3'150;
6;Annen;Katharina;1962;Restaurations-Managerin, Gemeindepräsidentin;Kehrsatz;2'734;
7;Haari;Beat;1963;Leiter Strassen-/Tiefbauunternehmung;Liebefeld;2'706;
8;Stauffer;Thomas;1973;Fürsprecher, Leiter Rechtsdienst;Kehrsatz;2'697;
9;Amacher;Dominic;1980;Betriebswirtschafter HF;Spiegel b. Bern;2'695;
10;Robellaz;Mathias;1974;Physiotherapeut FH, Geschäftsinhaber;Spiegel b. Bern;2'599;
11;Kägi;Andreas;1958;Fürsprecher, Gemeinderat;Münsingen;2'566;
12;Blatti;Hansruedi;1953;pens. Schulleiter, Gemeindepräsident;Wichtrach;2'535;
13;Hirschi;Markus;1956;Verkaufsleiter;Rüschegg;2'503;
14;Kobel-Itten;Erika;1960;Fürsprecherin;Mittelhäusern;2'474;
15;Wenger;Walter;1963;Firmenkundenberater, Moderator;Schwarzenburg;2'473;
16;Eberhard;Heidi;1960;Kauffrau, Direktionsassistentin;Schliern b. Köniz;2'446;
17;Rothenbühler;Tatijana;1971;Dr.iur. Sicherheitsrecht und Völkerrecht;Spiegel b. Bern;2'422;
18;Müller;Patrick;1990;Jurist;Belp;2'402;
19;Sonderegger;Ronald;1966;Goldschmied, Gemmologe;Spiegel b. Bern;2'361;
20;Mühlberger;Leander;1998;Maturand (Passerelle), Bankangestellter;Spiegel b. Bern;2'099;

Liste;13;Bürgerlich-Demokratische Partei des Kantons Bern
Kürzel / Sigle;BDP;
Sitze / Sièges;2;
Kandidatenstimmen /Total des suffrages nominatifs;43749;
Zusatzstimmen / Suffrages complémentaires;6939;
Parteistimmen / Total des suffrages de parti;50688;
Rang;Name;Vorname;Geb.-Datum;Beruf;Wohnort;Stimmen;Bisher
;Nom;Prénom;Ann. naiss.;Profession;Domicile;Suffrages;Sortant-e
Gewählte/Personnes élues
1;Stähli;Ulrich;1959;eidg.dipl. Landwirt, Gastwirt;Gasel;4'356;x
2;Eichenberger;Beatrice;1971;Bäuerin, Kaufm. Angestellte;Biglen;2'834;
Stimmen haben erhalten/Ont obtenu des suffrages
3;Roggli;André;1968;Unternehmer, Kommunikationstrainer NDS HF;Rüschegg Heubach;2'575;
4;Guggisberg;Bernhard;1963;Berufsschullehrer, Abteilungsleiter;Zäziwil;2'531;
5;Häberli;Felix;1967;el.Ing. FH, EMBA;Rubigen;2'302;
6;Pauli;Samira;1996;Gebäudetechnikplanerin Lüftung;Rüschegg-Gambach;2'190;
7;Brandt;Eric;1968;Bauingenieur HTL, Betriebswirtschafter EMBA;Zimmerwald;2'139;
8;Mosimann;Jürg;1971;dipl. Landwirt, dipl. Hauswart;Oberwangen;2'115;
9;Pfyffer Briker;Sandra;1980;Unternehmensberaterin;Konolfingen;2'047;
10;Reber;Caroline;1989;LKW-Chauffeuse, Automonteurin;Niederwangen;2'010;
11;Biedermann;Beat;1957;eidg.dipl. Sanitärplaner;Oberscherli;1'998;
12;Frey;Thomas;1953;dipl. Masch. Ing. HTL/STV;Oberwangen;1'993;
13;Grossenbacher;Bernhard;1960;Brunnenmeister FA;Belp;1'979;
14;Burri;Frank;1978;Pflegefachmann HF;Belp;1'958;
15;Tellenbach;Thomas;1984;Lehrer;Schwanden i.E.;1'892;
16;Steinlin;Timo;1992;Informatiker EFZ;Wabern;1'868;
17;Lanz;Andreas;1954;dipl. Masch. Ing. HTL/STV;Oberwangen;1'850;
18;Hochstrasser;Thomas;1951;Betriebswirtschafter;Belp;1'764;
19;Schneiter;Thomas;1963;Unternehmer;Niederscherli;1'704;
20;Schwyter;Reto;1966;Hotelfachmann;Liebefeld;1'644;
