"Wahlkreis","Gemeinde_Nr","Storyboard","Text_de"
"Oberland",574,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",575,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",576,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",577,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",578,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",579,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",580,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",581,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",582,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",584,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",585,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",586,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",587,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",588,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",589,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",590,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",591,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",592,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",593,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",594,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",761,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",762,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",763,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",766,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",768,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",769,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",782,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",783,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
"Oberland",784,,"Der Wahlkreis Oberland ist noch nicht ausgezählt"
